team,scorer,goals_total,op_goals_w,pen_goals_w,matches_w,op_rate,pen_rate,last_date
Ivory Coast,Simon Adingra,3,1.821,0.0,46.1,0.0395,0.0,2025-10-10
Curaçao,Livano Comenencia,2,1.811,0.0,33.6,0.0539,0.0,2026-06-14
Mexico,Henry Martín,5,1.805,0.0,63.7,0.0283,0.0,2023-07-12
Qatar,Ahmed Al-Rawi,3,1.804,0.0,54.5,0.0331,0.0,2025-03-20
Slovakia,Róbert Mak,10,1.804,0.0,39.4,0.0458,0.0,2023-09-11
North Macedonia,Darko Churlinov,4,1.802,0.0,36.8,0.0489,0.0,2025-09-07
Niger,Youssouf Oumarou,3,1.523,0.278,30.9,0.0493,0.009,2025-10-08
Argentina,Nicolás González,5,1.799,0.0,46.5,0.0387,0.0,2024-09-10
Suriname,Shaquille Pinas,4,1.045,0.751,26.1,0.04,0.0287,2025-06-15
Brazil,Philippe Coutinho,14,1.344,0.449,45.1,0.0298,0.01,2022-03-24
Netherlands,Davy Klaassen,7,1.792,0.0,45.5,0.0394,0.0,2022-11-21
Italy,Giovanni Di Lorenzo,4,1.79,0.0,41.7,0.0429,0.0,2024-10-14
Indonesia,Marselino Ferdinan,3,1.79,0.0,41.6,0.043,0.0,2024-11-19
Finland,Daniel Håkans,4,1.783,0.0,38.2,0.0467,0.0,2023-11-17
Cape Verde,Ryan Mendes,4,1.266,0.513,38.7,0.0327,0.0133,2024-01-29
Palestine,Zaid Qunbar,3,1.776,0.0,32.9,0.0539,0.0,2024-11-19
Faroe Islands,Klæmint Olsen,8,1.773,0.0,33.9,0.0524,0.0,2021-11-15
