date,home,away,home_ml,away_ml,p_home_close,p_away_close,vig,n_books
2022-09-22,Cincinnati Reds,Milwaukee Brewers,140,-172,0.3972,0.6028,0.04902,6
2022-09-22,Colorado Rockies,San Francisco Giants,120,-140,0.43759,0.56241,0.03875,6
2022-09-22,Kansas City Royals,Minnesota Twins,106,-128,0.46311,0.53689,0.04567,6
2022-09-22,Los Angeles Dodgers,Arizona Diamondbacks,-288,220,0.70363,0.29637,0.05444,6
2022-09-22,New York Yankees,Boston Red Sox,-151,129,0.57942,0.42058,0.03827,6
2022-09-22,Philadelphia Phillies,Atlanta Braves,121,-148,0.43091,0.56909,0.05007,6
2022-09-22,San Diego Padres,St. Louis Cardinals,-138,118,0.55774,0.44226,0.0396,6
2022-09-22,Tampa Bay Rays,Toronto Blue Jays,101,-120,0.47702,0.52298,0.04297,6
2022-09-22,Texas Rangers,Los Angeles Angels,-145,121,0.56672,0.43328,0.04433,6
2022-09-23,Baltimore Orioles,Houston Astros,111,-137,0.45051,0.54949,0.05199,6
2022-09-23,Chicago White Sox,Cleveland Guardians,124,-152,0.42556,0.57444,0.05139,6
2022-09-23,Cincinnati Reds,Milwaukee Brewers,140,-165,0.40091,0.59909,0.03931,6
2022-09-23,Los Angeles Dodgers,Arizona Diamondbacks,-222,175,0.65485,0.34515,0.05356,6
2022-09-23,Miami Marlins,Washington Nationals,-144,122,0.56678,0.43322,0.03977,6
2022-09-23,New York Yankees,Boston Red Sox,-238,196,0.67564,0.32436,0.04154,6
2022-09-23,Philadelphia Phillies,Atlanta Braves,-165,140,0.59909,0.40091,0.03931,6
2022-09-23,Pittsburgh Pirates,Chicago Cubs,-135,110,0.54677,0.45323,0.05066,6
2022-09-23,Tampa Bay Rays,Toronto Blue Jays,-146,120,0.56663,0.43337,0.04887,6
2022-09-24,Arizona Diamondbacks,San Francisco Giants,144,-177,0.39027,0.60973,0.04799,6
2022-09-24,Athletics,New York Mets,186,-228,0.33443,0.66557,0.0437,6
2022-09-24,Baltimore Orioles,Houston Astros,158,-195,0.37008,0.62992,0.04937,6
2022-09-24,Chicago White Sox,Detroit Tigers,-185,151,0.61967,0.38033,0.04753,6
2022-09-24,Cincinnati Reds,Milwaukee Brewers,182,-222,0.33949,0.66051,0.04453,6
2022-09-24,Colorado Rockies,San Diego Padres,140,-166,0.40063,0.59937,0.04002,6
2022-09-24,Kansas City Royals,Seattle Mariners,-130,109,0.54156,0.45844,0.04369,6
2022-09-24,Los Angeles Dodgers,St. Louis Cardinals,-168,142,0.60346,0.39654,0.03993,6
2022-09-24,Miami Marlins,Washington Nationals,-206,170,0.64528,0.35472,0.04411,6
2022-09-24,Minnesota Twins,Los Angeles Angels,140,-164,0.40118,0.59882,0.03859,6
