fighter,division,division_code,td_def,td_acc,td_per15,str_def,str_acc,kd_per15,sub_att_per15,pct_distance,SLpM,SApM,dmg_per_round,finish_rate,decision_rate,gets_finished_rate,times_kod,ko_tko_wins,times_submitted,td_att_per_round,age,reach_in,height_in,stance,style,layoff_days,streak,country,hometown,rank,ctrl_sec_per_round,wins,losses,last_fight_date
Joe Pyfer,Middleweight,mw,0.667,0.25,1.1134358974358973,0.527,0.432,0.708599358974359,0.598275641025641,0.25,3.0927051282051283,2.9520929487179486,14.882,0.75,0.25,0.0,0,4,0,1.315628205128205,29.5,75.0,74.0,Orthodox,grappler,89,4.0,United States,,7.0,34.680448717948714,7.0,1.0,2026-03-28
Gabriella Fernandes,Women's Flyweight,wflw,0.69,0.182,0.8307,0.531,0.466,0.17622500000000002,0.27205,0.6666666666666666,3.621125,4.326625,16.87,0.16666666666666666,0.6666666666666666,0.16666666666666666,1,0,0,0.9342500000000001,32.9,66.0,66.0,Southpaw,striker,84,-1.0,Brazil,"São Gonçalo, Brazil",15.0,34.722500000000004,3.0,3.0,2026-03-28
Ricky Simon,Bantamweight,bw,0.784,0.374,3.393047619047619,0.604,0.419,0.36316190476190474,0.305952380952381,0.5882352941176471,3.2064761904761903,3.9125238095238095,14.15,0.29411764705882354,0.5882352941176471,0.11764705882352941,2,2,0,2.836761904761905,33.8,69.0,66.0,Orthodox,balanced,84,0.0,,,,74.65714285714287,10.0,6.0,2026-03-28
Casey O'Neill,Women's Flyweight,wflw,0.7,0.348,1.33425,0.576,0.522,0.1521875,0.5480416666666666,0.375,6.081770833333334,4.392354166666666,35.63,0.5,0.375,0.125,0,3,1,1.219375,28.7,69.0,66.0,Orthodox,striker,84,2.0,Scotland,"Irvine, Scotland",11.0,67.45208333333333,6.0,2.0,2026-03-28
Maycee Barber,Women's Flyweight,wflw,0.481,0.469,1.4226470588235294,0.575,0.512,0.03307352941176471,0.1613235294117647,0.6153846153846154,3.9747205882352943,2.678426470588235,19.84,0.3076923076923077,0.6153846153846154,0.07692307692307693,1,4,0,1.0555588235294118,28.1,65.0,65.0,Switch,wrestler,84,-1.0,United States,"Greeley, United States",6.0,64.37205882352941,10.0,3.0,2026-03-28
Alexa Grasso,Women's Flyweight,wflw,0.548,0.353,0.6195789473684211,0.587,0.411,0.13222368421052633,0.5947631578947369,0.7333333333333333,4.0017499999999995,3.5212236842105265,20.02,0.2,0.7333333333333333,0.06666666666666667,0,1,1,0.552342105263158,32.9,66.0,65.0,Orthodox,striker,84,1.0,Mexico,"Guadalajara, Mexico",3.0,35.88026315789474,9.0,5.0,2026-03-28
Christian Leroy Duncan,Middleweight,mw,0.633,0.167,0.5837869822485207,0.528,0.579,0.42286094674556207,0.11779289940828402,0.4444444444444444,3.799573964497041,2.6145473372781063,20.05,0.5555555555555556,0.4444444444444444,0.0,0,5,0,0.760887573964497,30.7,79.0,74.0,Switch,balanced,96,4.0,United Kingdom,,13.0,54.897337278106505,7.0,2.0,2026-03-21
Michael Page,Middleweight,mw,0.684,0.0,0.5432478632478632,0.617,0.565,0.16079914529914532,0.17014529914529913,1.0,2.671051282051282,2.3104572649572646,10.733,0.0,1.0,0.0,0,0,0,0.6840598290598291,39.0,79.0,75.0,Switch,balanced,96,3.0,,,,31.96282051282051,4.0,1.0,2026-03-21
Roman Dolidze,Middleweight,mw,0.32,0.438,1.1310683760683762,0.485,0.416,0.3261773504273504,0.6380726495726495,0.5714285714285714,3.105136752136752,3.477061965811966,15.211,0.35714285714285715,0.5714285714285714,0.07142857142857142,0,5,1,0.9044188034188034,37.7,76.0,74.0,Orthodox,grappler,96,-2.0,Georgia,,14.0,68.92029914529914,9.0,5.0,2026-03-21
Eryk Anders,Middleweight,mw,0.804,0.254,1.6537179487179487,0.505,0.479,0.41029967948717955,0.11380448717948717,0.55,3.284352564102564,3.742046474358974,16.38,0.25,0.55,0.15,2,5,1,2.087147435897436,38.9,75.0,73.0,Southpaw,grappler,103,1.0,,,,81.1735576923077,10.0,9.0,2026-03-14
Chris Curtis,Middleweight,mw,0.646,0.0,0.3055769230769231,0.538,0.493,0.29519951923076926,0.09570673076923077,0.5833333333333334,4.6857788461538465,4.944319711538461,25.697,0.25,0.5833333333333334,0.08333333333333333,1,3,0,0.3032211538461539,38.7,75.0,70.0,Orthodox,striker,103,-1.0,,,,16.46033653846154,6.0,5.0,2026-03-14
Brad Tavares,Middleweight,mw,0.803,0.266,0.7320384615384616,0.549,0.437,0.2158497596153846,0.04785336538461538,0.7142857142857143,3.2411394230769233,3.151534855769231,16.143,0.07142857142857142,0.7142857142857143,0.21428571428571427,6,2,0,0.8674855769230769,38.2,74.0,73.0,Orthodox,balanced,103,-2.0,,,,37.89266826923077,16.0,12.0,2026-03-14
Cody Garbrandt,Bantamweight,bw,0.818,0.227,0.9806666666666667,0.589,0.404,0.8423999999999998,0.07928571428571429,0.35294117647058826,3.0202857142857145,3.629190476190476,12.89,0.35294117647058826,0.35294117647058826,0.29411764705882354,4,6,1,1.1853333333333333,35.0,65.0,68.0,Orthodox,balanced,105,,,,,21.714285714285715,10.0,7.0,2026-03-07
Reinier de Ridder,Middleweight,mw,0.4,0.292,1.888723076923077,0.468,0.486,0.3445192307692308,0.4531307692307692,0.3333333333333333,2.6840461538461535,2.5865115384615383,11.278,0.5,0.3333333333333333,0.16666666666666666,1,1,0,2.049353846153846,35.5,78.0,76.0,Southpaw,wrestler,110,-2.0,Netherlands,,8.0,75.59653846153846,4.0,2.0,2026-03-07
