pitcher,team,ra9,factor,ip
Seth Lugo,Kansas City Royals,4.0,0.929,255
Luis Morales,Athletics,4.0,0.929,29
Anthony Banda,Los Angeles Dodgers,4.01,0.931,91
Jeremiah Estrada,San Diego Padres,4.01,0.931,88
Ty Madden,Detroit Tigers,4.01,0.933,20
Kyle Leahy,St. Louis Cardinals,4.02,0.935,148
Dennis Santana,Pittsburgh Pirates,4.02,0.935,103
Jorge López,Chicago Cubs,4.02,0.935,21
Michael McGreevy,St. Louis Cardinals,4.03,0.937,140
Casey Mize,Detroit Tigers,4.03,0.938,188
Christian Scott,New York Mets,4.03,0.936,59
Caleb Kilian,San Francisco Giants,4.03,0.937,33
Ryan Yarbrough,Toronto Blue Jays,4.03,0.937,107
David Morgan,San Diego Padres,4.03,0.936,47
Quinn Priester,Boston Red Sox,4.03,0.937,114
Collin Snider,Seattle Mariners,4.03,0.938,16
Trey Yesavage,Toronto Blue Jays,4.04,0.94,55
Jacob Webb,Baltimore Orioles,4.04,0.94,94
Nestor Cortes,New York Yankees,4.05,0.94,70
Edgardo Henriquez,Los Angeles Dodgers,4.06,0.943,30
Juan Morillo,Arizona Diamondbacks,4.06,0.944,30
Kevin Gausman,Toronto Blue Jays,4.07,0.946,277
Davis Martin,Chicago White Sox,4.07,0.945,193
Dylan Cease,San Diego Padres,4.07,0.946,255
Justin Slaten,Boston Red Sox,4.07,0.946,22
Clayton Beeter,Washington Nationals,4.08,0.947,23
Ethan Roberts,Chicago Cubs,4.08,0.947,23
Drew Pomeranz,Chicago Cubs,4.08,0.949,53
Ryan Bergert,Kansas City Royals,4.08,0.948,46
Yariel Rodríguez,Toronto Blue Jays,4.08,0.948,78
Brendon Little,Toronto Blue Jays,4.08,0.948,59
Joel Payamps,Milwaukee Brewers,4.08,0.948,24
Javier Assad,Chicago Cubs,4.09,0.951,108
Michael Petersen,Miami Marlins,4.09,0.95,34
Greg Weissert,Boston Red Sox,4.09,0.951,95
Kyle Hurt,Los Angeles Dodgers,4.09,0.951,25
Matthew Boyd,Chicago Cubs,4.09,0.951,132
Pablo López,Minnesota Twins,4.09,0.951,119
Michael Kopech,Los Angeles Dodgers,4.09,0.951,27
Daniel Hudson,Los Angeles Dodgers,4.09,0.95,25
Ben Brown,Chicago Cubs,4.1,0.952,154
