fighter,date,event,opponent,result,method,round,decision_type,weightclass,score_margin,division_code
Henry Cejudo,2017-09-09,UFC 215: Nunes vs Shevchenko 2,Wilson Reis,W,KO/TKO,2,,,,bw
Amanda Nunes,2017-09-09,UFC 215: Nunes vs Shevchenko 2,Valentina Shevchenko,W,DEC,5,Split,,,wbw
Kajan Johnson,2017-09-09,UFC 215: Nunes vs Shevchenko 2,Adriano Martins,W,KO/TKO,3,,Lightweight Bout,,ww
Ketlen Vieira,2017-09-09,UFC 215: Nunes vs Shevchenko 2,Sara McMann,W,SUB,2,,,,wbw
Gilbert Burns,2017-09-16,UFC Fight Night: Rockhold vs. Branch,Jason Saggo,W,KO/TKO,2,,Lightweight Bout,,mw
Sergio Moraes,2017-09-16,UFC Fight Night: Rockhold vs. Branch,Kamaru Usman,L,KO/TKO,1,,Welterweight Bout,,ww
Justin Ledet,2017-09-16,,Azunna Anyanwu,W,Decision,3,Split,,,lhw
Luke Rockhold,2017-09-16,,David Branch,W,KO/TKO,2,,,,lhw
Uriah Hall,2017-09-16,UFC Fight Night: Rockhold vs. Branch,Krzysztof Jotko,W,KO/TKO,2,,Middleweight Bout,,mw
David Branch,2017-09-16,UFC Fight Night: Rockhold vs. Branch,Luke Rockhold,L,KO/TKO,2,,Middleweight Bout,,mw
Kamaru Usman,2017-09-16,UFC Fight Night: Rockhold vs. Branch,Sergio Moraes,W,KO/TKO,1,,Welterweight Bout,,mw
Mike Perry,2017-09-16,UFC Fight Night: Rockhold vs. Branch,Alex Reyes,W,KO/TKO,1,,Welterweight Bout,,ww
Anthony Smith,2017-09-16,UFC Fight Night: Rockhold vs. Branch,Hector Lombard,W,KO/TKO,3,,Middleweight Bout,,mw
Krzysztof Jotko,2017-09-16,UFC Fight Night: Rockhold vs. Branch,Uriah Hall,L,KO/TKO,2,,Middleweight Bout,,mw
Gokhan Saki,2017-09-22,,Henrique da Silva,W,KO/TKO,1,,,,lhw
Jussier Formiga,2017-09-22,UFC Fight Night: Saint Preux vs. Okami,Yuta Sasaki,W,Submission,1,,,,flw
Jéssica Andrade,2017-09-22,UFC Fight Night: Saint Preux vs. Okami,Claudia Gadelha,W,DEC,3,Unanimous,,,wsw
Yuta Sasaki,2017-09-22,UFC Fight Night: Saint Preux vs. Okami,Jussier Formiga,L,Submission,1,,,,flw
Alex Morono,2017-09-22,UFC Fight Night: Saint Preux vs. Okami,Keita Nakamura,L,Decision - Split,3,Split,Welterweight Bout,,ww
Ovince Saint Preux,2017-09-22,,Yushin Okami,W,Submission,1,,,,lhw
Beneil Dariush,2017-10-07,UFC 216: Ferguson vs. Lee,Evan Dunham,D/NC,Decision - Majority,3,Majority,,,lw
Brad Tavares,2017-10-07,UFC 216: Ferguson vs. Lee,Thales Leites,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
King Green,2017-10-07,UFC 216: Ferguson vs. Lee,Lando Vannata,D,Decision - Split,3,Split,Lightweight Bout,,ww
Demetrious Johnson,2017-10-07,UFC 216: Ferguson vs. Lee,Ray Borg,W,Submission,5,,,,flw
Kevin Lee,2017-10-07,UFC 216: Ferguson vs. Lee,Tony Ferguson,L,Submission,3,,UFC Interim Lightweight Title Bout,,ww
Walt Harris,2017-10-07,,Fabricio Werdum,L,Submission,1,,,,lhw
Matt Schnell,2017-10-07,UFC 216: Ferguson vs. Lee,Marco Beltran,W,Decision - Unanimous,3,Unanimous,,,flw
Devin Clark,2017-10-21,,Jan Blachowicz,L,Submission,2,,,,lhw
Jan Błachowicz,2017-10-21,,Devin Clark,W,Submission,2,,,,lhw
Sam Alvey,2017-10-21,UFC Fight Night: Cerrone vs. Till,Ramazan Emeev,L,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Darren Till,2017-10-21,UFC Fight Night: Cerrone vs. Till,Donald Cerrone,W,KO/TKO,1,,Welterweight Bout,,mw
Warlley Alves,2017-10-21,UFC Fight Night: Cerrone vs. Till,Salim Touahri,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Karolina Kowalkiewicz,2017-10-21,UFC Fight Night: Cerrone vs. Till,Jodie Esquibel,W,DEC,3,Unanimous,,,wsw
Jan Blachowicz,2017-10-21,UFC Fight Night: Cerrone vs. Till,Devin Clark,W,Submission,2,,Light Heavyweight Bout,,mw
Ramazan Emeev,2017-10-21,UFC Fight Night: Cerrone vs. Till,Sam Alvey,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,ww
Josh Emmett,2017-10-21,,Felipe Arantes,W,Decision - Unanimous,3,Unanimous,,,fw
Andre Fili,2017-10-21,UFC Fight Night: Cerrone vs. Till,Artem Lobov,W,Decision,3,Unanimous,,,bw
Donald Cerrone,2017-10-21,UFC Fight Night: Cerrone vs. Till,Darren Till,L,KO/TKO,1,,Welterweight Bout,,ww
Max Griffin,2017-10-28,UFC Fight Night: Brunson vs. Machida,Elizeu Zaleski dos Santos,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Vicente Luque,2017-10-28,UFC Fight Night: Brunson vs. Machida,Niko Price,W,Submission,2,,Welterweight Bout,,ww
Demian Maia,2017-10-28,UFC Fight Night: Brunson vs. Machida,Colby Covington,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Rob Font,2017-10-28,UFC Fight Night: Brunson vs. Machida,Pedro Munhoz,L,Submission,1,,,,bw
Deiveson Figueiredo,2017-10-28,UFC Fight Night: Brunson vs. Machida,Jarred Brooks,W,Decision - Split,3,Split,,,flw
Jack Marshman,2017-10-28,UFC Fight Night: Brunson vs. Machida,Antonio Carlos Junior,L,Submission,1,,Middleweight Bout,,mw
Colby Covington,2017-10-28,UFC Fight Night: Brunson vs. Machida,Demian Maia,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Marlon Vera,2017-10-28,UFC Fight Night: Brunson vs. Machida,John Lineker,L,Decision,3,Unanimous,,,bw
Thiago Santos,2017-10-28,,Jack Hermansson,W,KO/TKO,1,,,,lhw
Jack Hermansson,2017-10-28,UFC Fight Night: Brunson vs. Machida,Thiago Santos,L,KO/TKO,1,,Middleweight Bout,,mw
Pedro Munhoz,2017-10-28,UFC Fight Night: Brunson vs. Machida,Rob Font,W,Submission,1,,,,bw
Elizeu Zaleski dos Santos,2017-10-28,UFC Fight Night: Brunson vs. Machida,Max Griffin,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,mw
Derek Brunson,2017-10-28,UFC Fight Night: Brunson vs. Machida,Lyoto Machida,W,KO/TKO,1,,Middleweight Bout,,mw
Cody Garbrandt,2017-11-04,UFC 217: Bisping vs. St-Pierre,TJ Dillashaw,L,KO/TKO,2,,,,bw
Aiemann Zahabi,2017-11-04,UFC 217: Bisping vs. St-Pierre,Ricardo Ramos,L,KO/TKO,3,,,,bw
Paulo Costa,2017-11-04,UFC 217: Bisping vs. St-Pierre,Johny Hendricks,W,KO/TKO,2,,Middleweight Bout,,mw
Ovince Saint Preux,2017-11-04,,Corey Anderson,W,KO/TKO,3,,,,lhw
Johny Hendricks,2017-11-04,,Paulo Costa,L,KO/TKO,2,,,,lhw
Corey Anderson,2017-11-04,,Ovince Saint Preux,L,KO/TKO,3,,,,lhw
Rose Namajunas,2017-11-04,UFC 217: Bisping vs. St-Pierre,Joanna Jedrzejczyk,W,KO/TKO,1,,,,wsw
Randy Brown,2017-11-04,UFC 217: Bisping vs. St-Pierre,Mickey Gall,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Mickey Gall,2017-11-04,UFC 217: Bisping vs. St-Pierre,Randy Brown,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Walt Harris,2017-11-04,,Mark Godbeer,L,DQ,1,,,,lhw
Curtis Blaydes,2017-11-04,UFC 217: Bisping vs. St-Pierre,Aleksei Oleinik,W,TKO - Doctor's Stoppage,2,,Heavyweight Bout,,hw
Stephen Thompson,2017-11-04,UFC 217: Bisping vs. St-Pierre,Jorge Masvidal,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,mw
Jorge Masvidal,2017-11-04,UFC 217: Bisping vs. St-Pierre,Stephen Thompson,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Tatiana Suarez,2017-11-11,UFC Fight Night: Poirier vs. Pettis,Viviane Pereira,W,DEC,3,Unanimous,,,wsw
Dustin Poirier,2017-11-11,UFC Fight Night: Poirier vs. Pettis,Anthony Pettis,W,KO/TKO,3,,Lightweight Bout,,ww
Court McGee,2017-11-11,UFC Fight Night: Poirier vs. Pettis,Sean Strickland,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,mw
Karl Roberson,2017-11-11,UFC Fight Night: Poirier vs. Pettis,Darren Stewart,W,Submission,1,,Middleweight Bout,,mw
John Dodson,2017-11-11,UFC Fight Night: Poirier vs. Pettis,Marlon Moraes,L,Decision - Split,3,Split,,,flw
Angela Hill,2017-11-11,UFC Fight Night: Poirier vs. Pettis,Nina Nunes,L,DEC,3,Unanimous,,,wsw
Sean Strickland,2017-11-11,UFC Fight Night: Poirier vs. Pettis,Court McGee,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Jake Matthews,2017-11-18,UFC Fight Night: Werdum vs. Tybura,Bojan Velickovic,W,Decision - Split,3,Split,Welterweight Bout,,ww
Marcin Tybura,2017-11-18,UFC Fight Night: Werdum vs. Tybura,Fabricio Werdum,L,Decision - Unanimous,5,Unanimous,Heavyweight Bout,,hw
Ryan Benoit,2017-11-18,UFC Fight Night: Werdum vs. Tybura,Ashkan Mokhtarian,W,KO/TKO,3,,,,flw
Eric Shelton,2017-11-18,UFC Fight Night: Werdum vs. Tybura,Jenel Lausa,W,Decision - Unanimous,3,Unanimous,,,flw
Alexander Volkanovski,2017-11-18,UFC Fight Night: Werdum vs. Tybura,Shane Young,W,Decision - Unanimous,3,Unanimous,Catch Weight Bout,,ww
Belal Muhammad,2017-11-18,UFC Fight Night: Werdum vs. Tybura,Tim Means,W,Decision - Split,3,Split,Welterweight Bout,,ww
Nik Lentz,2017-11-18,UFC Fight Night: Werdum vs. Tybura,Will Brooks,W,Submission,2,,Lightweight Bout,,ww
Tim Means,2017-11-18,UFC Fight Night: Werdum vs. Tybura,Belal Muhammad,L,Decision - Split,3,Split,Welterweight Bout,,ww
Song Yadong,2017-11-25,UFC Fight Night: Bisping vs. Gastelum,Bharat Kandare,W,Submission,1,,,,bw
Alex Garcia,2017-11-25,UFC Fight Night: Bisping vs. Gastelum,Muslim Salikhov,W,Submission,2,,Welterweight Bout,,mw
Cyril Asker,2017-11-25,UFC Fight Night: Bisping vs. Gastelum,Hu Yaozong,W,Submission,2,,Heavyweight Bout,,mw
Yan Xiaonan,2017-11-25,UFC Fight Night: Bisping vs. Gastelum,Kailin Curran,W,DEC,3,Unanimous,,,wsw
Song Kenan,2017-11-25,UFC Fight Night: Bisping vs. Gastelum,Bobby Nash,W,KO/TKO,1,,Welterweight Bout,,ww
Muslim Salikhov,2017-11-25,UFC Fight Night: Bisping vs. Gastelum,Alex Garcia,L,Submission,2,,Welterweight Bout,,ww
Kelvin Gastelum,2017-11-25,UFC Fight Night: Bisping vs. Gastelum,Michael Bisping,W,KO/TKO,1,,Middleweight Bout,,ww
Li Jingliang,2017-11-25,UFC Fight Night: Bisping vs. Gastelum,Zak Ottow,W,KO/TKO,1,,Welterweight Bout,,ww
Gillian Robertson,2017-12-01,The Ultimate Fighter: A New World Champion Finale,Emily Whitmire,W,SUB,1,,,,wsw
Sean O'Malley,2017-12-01,The Ultimate Fighter: A New World Champion Finale,Terrion Ware,W,Decision,3,Unanimous,,,bw
Gerald Meerschaert,2017-12-01,The Ultimate Fighter: A New World Champion Finale,Eric Spicely,W,KO/TKO,2,,Middleweight Bout,,mw
Lauren Murphy,2017-12-01,The Ultimate Fighter: A New World Champion Finale,Barb Honchak,W,DEC,3,Split,,,wbw
Andrew Sanchez,2017-12-01,,Ryan Janes,L,KO/TKO,3,,,,lhw
Abdul Razak Alhassan,2017-12-02,UFC 218: Holloway vs. Aldo 2,Sabah Homasi,W,KO/TKO,1,,Welterweight Bout,,mw
Charles Oliveira,2017-12-02,UFC 218: Holloway vs. Aldo 2,Paul Felder,L,KO/TKO,2,,Lightweight Bout,,ww
Max Holloway,2017-12-02,UFC 218: Holloway vs. Aldo 2,Jose Aldo,W,KO/TKO,3,,,,lw
Tecia Pennington,2017-12-02,UFC 218: Holloway vs. Aldo 2,Michelle Waterson-Gomez,W,DEC,3,Unanimous,,,wsw
Henry Cejudo,2017-12-02,UFC 218: Holloway vs. Aldo 2,Sergio Pettis,W,Decision,3,Unanimous,,,bw
Justin Gaethje,2017-12-02,UFC 218: Holloway vs. Aldo 2,Eddie Alvarez,L,KO/TKO,3,,,,lw
Sergio Pettis,2017-12-02,UFC 218: Holloway vs. Aldo 2,Henry Cejudo,L,Decision - Unanimous,3,Unanimous,,,flw
Jose Aldo,2017-12-02,UFC 218: Holloway vs. Aldo 2,Max Holloway,L,KO/TKO,3,,,,bw
Jeremy Kimball,2017-12-02,,Dominick Reyes,L,Submission,1,,,,lhw
Dominick Reyes,2017-12-02,UFC 218: Holloway vs. Aldo 2,Jeremy Kimball,W,Submission,1,,Light Heavyweight Bout,,mw
Eryk Anders,2017-12-09,UFC Fight Night: Swanson vs. Ortega,Markus Perez,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Trevin Giles,2017-12-09,UFC Fight Night: Swanson vs. Ortega,Antonio Braga Neto,W,KO/TKO,3,,Middleweight Bout,,mw
Markus Perez,2017-12-09,UFC Fight Night: Swanson vs. Ortega,Eryk Anders,L,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Aljamain Sterling,2017-12-09,,Marlon Moraes,L,KO/TKO,1,,,,fw
Carls John De Tomas,2017-12-09,UFC Fight Night: Swanson vs. Ortega,Alex Perez,L,Submission,2,,,,flw
Merab Dvalishvili,2017-12-09,UFC Fight Night: Swanson vs. Ortega,Frankie Saenz,L,Decision,3,Split,,,bw
Brian Ortega,2017-12-09,,Cub Swanson,W,Submission,2,,,,fw
Alex Perez,2017-12-09,UFC Fight Night: Swanson vs. Ortega,Carls John De Tomas,W,Submission,2,,,,flw
Davi Ramos,2017-12-09,UFC Fight Night: Swanson vs. Ortega,Chris Gruetzemacher,W,Submission,3,,Lightweight Bout,,ww
Jared Cannonier,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos,Jan Blachowicz,L,Decision - Unanimous,3,Unanimous,Light Heavyweight Bout,,mw
Nordine Taleb,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos,Danny Roberts,W,KO/TKO,1,,Welterweight Bout,,mw
Danny Roberts,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos,Nordine Taleb,L,KO/TKO,1,,Welterweight Bout,,ww
Glover Teixeira,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos,Misha Cirkunov,W,KO/TKO,1,,Light Heavyweight Bout,,mw
Jan Blachowicz,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos,Jared Cannonier,W,Decision - Unanimous,3,Unanimous,Light Heavyweight Bout,,mw
Alessio Di Chirico,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos,Oluwale Bamgbose,W,KO/TKO,2,,Middleweight Bout,,ww
Jan Błachowicz,2017-12-16,,Jared Cannonier,W,Decision,3,Unanimous,,,lhw
Santiago Ponzinibbio,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos,Mike Perry,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Jordan Mein,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos,Erick Silva,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Josh Emmett,2017-12-16,,Ricardo Lamas,W,KO/TKO,1,,,,fw
Oluwale Bamgbose,2017-12-16,,Alessio Di Chirico,L,KO/TKO,2,,,,lhw
Misha Cirkunov,2017-12-16,,Glover Teixeira,L,KO/TKO,1,,,,lhw
Julian Marquez,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos,Darren Stewart,W,Submission,2,,Middleweight Bout,,mw
Rafael Dos Anjos,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos,Robbie Lawler,W,Decision - Unanimous,5,Unanimous,Welterweight Bout,,ww
Mike Perry,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos,Santiago Ponzinibbio,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Khalil Rountree Jr.,2017-12-30,,Michal Oleksiejczuk,NC,Other,3,,,,lhw
Holly Holm,2017-12-30,UFC 219: Cyborg vs. Holm,Cristiane Justino,L,DEC,5,Unanimous,,,wbw
Dan Hooker,2017-12-30,UFC 219: Cyborg vs. Holm,Marc Diakiese,W,Submission,3,,Lightweight Bout,,ww
Matheus Nicolau,2017-12-30,UFC 219: Cyborg vs. Holm,Louis Smolka,W,Decision - Unanimous,3,Unanimous,,,flw
Louis Smolka,2017-12-30,UFC 219: Cyborg vs. Holm,Matheus Nicolau,L,Decision - Unanimous,3,Unanimous,,,flw
Neil Magny,2017-12-30,UFC 219: Cyborg vs. Holm,Carlos Condit,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Michal Oleksiejczuk,2017-12-30,UFC 219: Cyborg vs. Holm,Khalil Rountree Jr.,NC,Overturned,3,,Light Heavyweight Bout,,mw
Marvin Vettori,2017-12-30,UFC 219: Cyborg vs. Holm,Omari Akhmedov,D,Decision - Majority,3,Majority,Middleweight Bout,,mw
Mark De La Rosa,2017-12-30,UFC 219: Cyborg vs. Holm,Tim Elliott,L,Submission,2,,,,flw
Tim Elliott,2017-12-30,UFC 219: Cyborg vs. Holm,Mark De La Rosa,W,Submission,2,,,,flw
Irene Aldana,2018-01-14,UFC Fight Night: Stephens vs. Choi,Talita Bernardo,W,DEC,3,Unanimous,,,wbw
JJ Aldrich,2018-01-14,,Danielle Taylor,W,Decision - Unanimous,3,Decision,,,wflw
Kamaru Usman,2018-01-14,UFC Fight Night: Stephens vs. Choi,Emil Meek,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Emil Meek,2018-01-14,UFC Fight Night: Stephens vs. Choi,Kamaru Usman,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Rob Font,2018-01-20,UFC 220: Miocic vs. Ngannou,Thomas Almeida,W,KO/TKO,2,,,,bw
Islam Makhachev,2018-01-20,UFC 220: Miocic vs. Ngannou,Gleison Tibau,W,KO/TKO,1,,Lightweight Bout,,ww
Abdul Razak Alhassan,2018-01-20,UFC 220: Miocic vs. Ngannou,Sabah Homasi,W,KO/TKO,1,,Welterweight Bout,,ww
Daniel Cormier,2018-01-20,,Volkan Oezdemir,W,KO/TKO,2,,,,lhw
Dustin Ortiz,2018-01-20,UFC 220: Miocic vs. Ngannou,Alexandre Pantoja,W,Decision - Unanimous,3,Unanimous,,,flw
Alexandre Pantoja,2018-01-20,UFC 220: Miocic vs. Ngannou,Dustin Ortiz,L,Decision - Unanimous,3,Unanimous,,,flw
Volkan Oezdemir,2018-01-20,,Daniel Cormier,L,KO/TKO,2,,,,lhw
Francimar Barroso,2018-01-20,,Gian Villante,L,Decision,3,Split,,,lhw
Gleison Tibau,2018-01-20,UFC 220: Miocic vs. Ngannou,Islam Makhachev,L,KO/TKO,1,,Lightweight Bout,,ww
Derek Brunson,2018-01-27,UFC Fight Night: Jacare vs. Brunson 2,Jacare Souza,L,KO/TKO,1,,Middleweight Bout,,mw
Andre Fili,2018-01-27,UFC Fight Night: Jacare vs. Brunson 2,Dennis Bermudez,W,Decision,3,Split,,,bw
Cory Sandhagen,2018-01-27,UFC Fight Night: Jacare vs. Brunson 2,Austin Arnett,W,KO/TKO,2,,,,bw
Drew Dober,2018-01-27,UFC Fight Night: Jacare vs. Brunson 2,Frank Camacho,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Jacare Souza,2018-01-27,UFC Fight Night: Jacare vs. Brunson 2,Derek Brunson,W,KO/TKO,1,,Middleweight Bout,,mw
King Green,2018-01-27,UFC Fight Night: Jacare vs. Brunson 2,Erik Koch,W,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Valentina Shevchenko,2018-02-03,,Priscila Cachoeira,W,Submission,2,,,,wflw
Anthony Smith,2018-02-03,UFC Fight Night: Machida vs. Anders,Thiago Santos,L,KO/TKO,2,,Middleweight Bout,,mw
Deiveson Figueiredo,2018-02-03,UFC Fight Night: Machida vs. Anders,Joseph Morales,W,KO/TKO,2,,,,flw
Sergio Moraes,2018-02-03,UFC Fight Night: Machida vs. Anders,Tim Means,W,Decision - Split,3,Split,Welterweight Bout,,ww
Thiago Santos,2018-02-03,,Anthony Smith,W,KO/TKO,2,,,,lhw
Marlon Vera,2018-02-03,UFC Fight Night: Machida vs. Anders,Douglas Silva de Andrade,L,Decision,3,Unanimous,,,bw
Eryk Anders,2018-02-03,UFC Fight Night: Machida vs. Anders,Lyoto Machida,L,Decision - Split,5,Split,Middleweight Bout,,mw
Tim Means,2018-02-03,UFC Fight Night: Machida vs. Anders,Sergio Moraes,L,Decision - Split,3,Split,Welterweight Bout,,ww
Priscila Cachoeira,2018-02-03,UFC Fight Night: Machida vs. Anders,Valentina Shevchenko,L,SUB,2,,,,wbw
Jussier Formiga,2018-02-10,UFC 221: Romero vs. Rockhold,Ben Nguyen,W,Submission,3,,,,flw
Ben Nguyen,2018-02-10,UFC 221: Romero vs. Rockhold,Jussier Formiga,L,Submission,3,,,,flw
Israel Adesanya,2018-02-10,UFC 221: Romero vs. Rockhold,Rob Wilkinson,W,KO/TKO,2,,Middleweight Bout,,mw
Jake Matthews,2018-02-10,UFC 221: Romero vs. Rockhold,Li Jingliang,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Curtis Blaydes,2018-02-10,UFC 221: Romero vs. Rockhold,Mark Hunt,W,Decision - Unanimous,3,Unanimous,Heavyweight Bout,,hw
Rob Wilkinson,2018-02-10,UFC 221: Romero vs. Rockhold,Israel Adesanya,L,KO/TKO,2,,Middleweight Bout,,mw
Yoel Romero,2018-02-10,UFC 221: Romero vs. Rockhold,Luke Rockhold,W,KO/TKO,3,,Middleweight Bout,,mw
Luke Rockhold,2018-02-10,,Yoel Romero,L,KO/TKO,3,,,,lhw
Alexander Volkanovski,2018-02-10,UFC 221: Romero vs. Rockhold,Jeremy Kennedy,W,KO/TKO,2,,Featherweight Bout,,ww
Cyril Asker,2018-02-10,UFC 221: Romero vs. Rockhold,Tai Tuivasa,L,KO/TKO,1,,Heavyweight Bout,,mw
Tyson Pedro,2018-02-10,,Saparbeg Safarov,W,Submission,1,,,,lhw
Li Jingliang,2018-02-10,UFC 221: Romero vs. Rockhold,Jake Matthews,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,mw
Alex Morono,2018-02-18,UFC Fight Night: Cerrone vs. Medeiros,Joshua Burkman,W,Submission,1,,Welterweight Bout,,ww
Donald Cerrone,2018-02-18,UFC Fight Night: Cerrone vs. Medeiros,Yancy Medeiros,W,KO/TKO,1,,Welterweight Bout,,ww
Curtis Millender,2018-02-18,UFC Fight Night: Cerrone vs. Medeiros,Thiago Alves,W,KO/TKO,2,,Welterweight Bout,,ww
Geoff Neal,2018-02-18,UFC Fight Night: Cerrone vs. Medeiros,Brian Camozzi,W,Submission,1,,Welterweight Bout,,ww
Marcin Tybura,2018-02-18,UFC Fight Night: Cerrone vs. Medeiros,Derrick Lewis,L,KO/TKO,3,,Heavyweight Bout,,hw
Derrick Lewis,2018-02-18,UFC Fight Night: Cerrone vs. Medeiros,Marcin Tybura,W,KO/TKO,3,,Heavyweight Bout,,hw
Tecia Pennington,2018-02-24,UFC Fight Night: Emmett vs. Stephens,Jessica Andrade,L,DEC,3,Unanimous,,,wsw
Mike Perry,2018-02-24,UFC Fight Night: Emmett vs. Stephens,Max Griffin,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Eric Shelton,2018-02-24,UFC Fight Night: Emmett vs. Stephens,Alex Perez,L,Decision - Unanimous,3,Unanimous,,,flw
Alan Jouban,2018-02-24,UFC Fight Night: Emmett vs. Stephens,Ben Saunders,W,KO/TKO,2,,Welterweight Bout,,ww
Angela Hill,2018-02-24,UFC Fight Night: Emmett vs. Stephens,Maryna Moroz,W,DEC,3,Unanimous,,,wsw
Josh Emmett,2018-02-24,,Jeremy Stephens,L,KO/TKO,2,,,,fw
Marcin Prachnio,2018-02-24,,Sam Alvey,L,KO/TKO,1,,,,lhw
Ovince Saint Preux,2018-02-24,,Ilir Latifi,L,Submission,1,,,,lhw
Alex Perez,2018-02-24,UFC Fight Night: Emmett vs. Stephens,Eric Shelton,W,Decision - Unanimous,3,Unanimous,,,flw
Jéssica Andrade,2018-02-24,UFC Fight Night: Emmett vs. Stephens,Tecia Pennington,W,DEC,3,Unanimous,,,wsw
Ilir Latifi,2018-02-24,,Ovince Saint Preux,W,Submission,1,,,,lhw
Sam Alvey,2018-02-24,UFC Fight Night: Emmett vs. Stephens,Marcin Prachnio,W,KO/TKO,1,,Light Heavyweight Bout,,mw
Max Griffin,2018-02-24,UFC Fight Night: Emmett vs. Stephens,Mike Perry,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Pedro Munhoz,2018-03-03,UFC 222: Cyborg vs. Kunitskaya,John Dodson,L,Decision,3,Split,,,bw
Beneil Dariush,2018-03-03,UFC 222: Cyborg vs. Kunitskaya,Alexander Hernandez,L,KO/TKO,1,,,,lw
Sean O'Malley,2018-03-03,UFC 222: Cyborg vs. Kunitskaya,Andre Soukhamthath,W,Decision,3,Unanimous,,,bw
Mackenzie Dern,2018-03-03,UFC 222: Cyborg vs. Kunitskaya,Ashley Yoder,W,DEC,3,Split,,,wsw
Yana Santos,2018-03-03,UFC 222: Cyborg vs. Kunitskaya,Cristiane Justino,L,KO/TKO,1,,,,wbw
Brian Ortega,2018-03-03,,Frankie Edgar,W,KO/TKO,1,,,,fw
John Dodson,2018-03-03,UFC 222: Cyborg vs. Kunitskaya,Pedro Munhoz,W,Decision - Split,3,Split,,,flw
Ketlen Vieira,2018-03-03,UFC 222: Cyborg vs. Kunitskaya,Cat Zingano,W,DEC,3,Split,,,wbw
Alexander Volkov,2018-03-17,UFC Fight Night: Werdum vs. Volkov,Fabricio Werdum,W,KO/TKO,4,,Heavyweight Bout,,hw
Danny Roberts,2018-03-17,UFC Fight Night: Werdum vs. Volkov,Oliver Enkamp,W,KO/TKO,1,,Welterweight Bout,,ww
Peter Sobotta,2018-03-17,UFC Fight Night: Werdum vs. Volkov,Leon Edwards,L,KO/TKO,3,,Welterweight Bout,,ww
John Phillips,2018-03-17,UFC Fight Night: Werdum vs. Volkov,Charles Byrd,L,Submission,1,,Middleweight Bout,,mw
Kajan Johnson,2018-03-17,UFC Fight Night: Werdum vs. Volkov,Stevie Ray,W,Decision - Split,3,Split,Lightweight Bout,,ww
Magomed Ankalaev,2018-03-17,,Paul Craig,L,Submission,3,,,,lhw
Jan Błachowicz,2018-03-17,,Jimi Manuwa,W,Decision,3,Unanimous,,,lhw
Paul Craig,2018-03-17,UFC Fight Night: Werdum vs. Volkov,Magomed Ankalaev,W,Submission,3,,Light Heavyweight Bout,,mw
Jimi Manuwa,2018-03-17,,Jan Blachowicz,L,Decision,3,Unanimous,,,lhw
Leon Edwards,2018-03-17,UFC Fight Night: Werdum vs. Volkov,Peter Sobotta,W,KO/TKO,3,,Welterweight Bout,,ww
Jan Blachowicz,2018-03-17,UFC Fight Night: Werdum vs. Volkov,Jimi Manuwa,W,Decision - Unanimous,3,Unanimous,Light Heavyweight Bout,,mw
Renato Moicano,2018-04-07,UFC 223: Khabib vs. Iaquinta,Calvin Kattar,W,Decision - Unanimous,3,Unanimous,Featherweight Bout,,ww
